time,id,n_cars
508919032407208, 3, 0
508919032406166, 0, 9
508919032406250, 6, 3
508919035074916, 4, 9
508919036967916, 1, 1
508919038810750, 7, 4
508919040524333, 5, 5
508919042188583, 2, 7
508919043862750, 8, 9
508920050529416, 3, 4
508920050549166, 0, 4
508920054843750, 1, 4
508920056499166, 2, 9
508920053089791, 4, 9
508920053928375, 6, 8
508920059855541, 5, 3
508920061481583, 7, 7
508920064743333, 8, 3
508921063159500, 0, 1
508921065843000, 1, 4
508921067588250, 2, 4
508921063179416, 3, 4
508921070737166, 4, 3
508921071371541, 6, 0
508921074489791, 7, 4
508921072801583, 5, 8
508921076060208, 8, 4
508922074212541, 0, 5
508922076747916, 1, 1
508922078479583, 2, 2
508922082677375, 3, 6
508922084231208, 4, 3
508922084253791, 6, 1
508922087554333, 7, 9
508922085813458, 5, 8
508922089211791, 8, 7
508923085173916, 0, 1
508923087408708, 1, 4
508923089037916, 2, 9
508923095999208, 3, 1
508923097511791, 6, 0
508923097572041, 4, 1
508923099328250, 7, 7
508923100917833, 5, 7
508923102493750, 8, 3
508924095676333, 0, 3
508924097703416, 1, 0
508924099268083, 2, 4
508924108604875, 6, 7
508924109075000, 3, 8
508924110205916, 7, 0
508924111841166, 4, 5
508924113467000, 8, 0
508924115093208, 5, 6
508925106235291, 0, 6
508925108233875, 1, 2
508925109781375, 2, 8
508925121678083, 6, 9
508925123163666, 3, 4
508925123307250, 7, 7
508925126385666, 8, 5
508925124854625, 4, 7
508925129685875, 5, 1
508926116427875, 0, 9
508926118965125, 1, 3
508926120649208, 2, 0
508926133111625, 6, 9
508926134639541, 7, 4
508926136161875, 8, 8
508926136295375, 3, 6
508926139552083, 4, 8
508926141106541, 5, 8
508927127689416, 0, 2
508927130206500, 1, 8
508927131893458, 2, 8
508927142701083, 6, 7
508927144307291, 7, 6
508927145827958, 8, 1
508927147841416, 3, 1
508927149417708, 4, 9
508927150987625, 5, 1
508928138525750, 0, 9
508928141079958, 1, 2
508928142778750, 2, 3
508928152400375, 6, 6
508928154156041, 7, 2
508928155746416, 8, 5
508928157760916, 3, 0
508928159403958, 4, 3
508928161019375, 5, 7
508929149503250, 0, 2
508929151834083, 1, 5
508929153477583, 2, 9
508929162419791, 6, 5
508929164170208, 7, 5
508929165744541, 8, 3
508929167639291, 3, 2
508929169228500, 4, 4
508929170781750, 5, 6
508930160596125, 0, 0
508930163078291, 1, 0
508930164824041, 2, 5
508930172329083, 6, 3
508930173980416, 7, 3
508930175700583, 8, 5
508930177334000, 3, 8
508930178926416, 4, 3
508930180528458, 5, 9
508931172083500, 0, 8
508931174470708, 1, 2
508931176137750, 2, 1
508931182285375, 6, 8
508931183874208, 7, 9
508931185478041, 8, 0
508931187135416, 3, 2
508931188775375, 4, 1
508931190545541, 5, 7
508932182976458, 0, 9
508932185406083, 1, 0
508932187093750, 2, 6
508932192188833, 6, 2
508932193869166, 7, 3
508932195580750, 8, 2
508932197057958, 3, 9
508932198838416, 4, 4
508932200430375, 5, 6
508933193773750, 0, 6
508933196189333, 1, 8
508933197829166, 2, 4
508933202295541, 6, 1
508933202317333, 3, 9
508933203884166, 7, 5
508933205461958, 4, 9
508933207059208, 8, 6
508933208768250, 5, 7
508934204550958, 0, 3
508934206974750, 1, 4
508934208644875, 2, 8
508934215471916, 6, 2
508934217117958, 3, 1
508934217212375, 7, 8
508934218877333, 4, 5
508934220426708, 8, 3
508934221973166, 5, 6
508935215342500, 0, 1
508935218244041, 1, 3
508935220062916, 2, 8
508935228663958, 6, 8
508935230332291, 7, 0
508935230290791, 3, 7
508935231968500, 8, 2
508935233623333, 4, 1
508935236832791, 5, 6
508936226792625, 0, 6
508936229183875, 1, 3
508936230843541, 2, 5
508936240255208, 6, 2
508936241888000, 7, 8
508936243505208, 3, 1
508936243585833, 8, 1
508936245167000, 4, 3
508936248210125, 5, 1
508937237739541, 0, 4
508937240269791, 1, 6
508937241986125, 2, 6
508937251161750, 6, 6
508937252738125, 7, 5
508937254336208, 8, 2
