time,id,n_cars
508924557842333, 2, 35
508924557842333, 0, 23
508924557842333, 4, 21
508924557842333, 6, 19
508924557842333, 8, 17
508934557852166, 0, 54
508934557852166, 6, 52
508934557852166, 3, 42
508934557852166, 7, 33
508934557852166, 1, 21
508944557877666, 2, 52
508944557877666, 1, 43
508944557877666, 4, 29
508944557877666, 3, 16
508944557877666, 6, 13
508954557914791, 0, 53
508954557914791, 1, 43
508954557914791, 7, 40
508954557914791, 8, 39
508954557914791, 3, 33
508964557946125, 0, 48
508964557946125, 6, 32
508964557946125, 8, 21
508964557946125, 5, 18
508964557946125, 2, 16
508974558000083, 5, 44
508974558000083, 2, 42
508974558000083, 3, 29
508974558000083, 7, 25
508974558000083, 1, 19
